star_rating,date_of_review,review_description
2,2023-09-29,Staff not very friendly. Chicken rice normal nothing to shout about. If there were others near won’t come here. Chilli and ginger sauce were all frozen ice cold. Obviously they don’t bother. 😟
2,2024-06-25,Mid tasting chicken rice. Portions were undeniably small.
5,2024-06-25,Nice chicken rice with tender meat and tasty rice! Good enough to make me return again.
3,2022-06-26,"I would describe this as a decent neighbourhood chicken rice stall. Meat pieces are all moist and tender. The soy-based sauce elevates the taste of the chicken and lends flavour to the rice. Rice is cooked well and is evidently fried before cooking. The chilli is a little lacking though - it has a fair consistency that clings well enough without over coating. However, i found it too salty, not spicy enough and not well rounded.  Additional rice is available at $0.50."
4,2021-06-26,Not bad
5,2021-06-26,Chicken rice very delicious. Very flavorful. Recommended to try!! 👍 …
5,2021-06-26,"The best chicken rice price are reasonable too The chicken is very tender, Staff are very friendly too."
5,2021-06-26,"One of my fav chicken rice stall. Chicken rice is nice, tgt with their chilli sauce! Staff was polite. Will definitely go over again n satisfied my chicken rice crave!"
5,2021-06-26,Seller was very friendly and smiley. The chicken rice portion was huge and fresh too. I can eat this everyday (: thank you
5,2021-06-26,"I'm quite picky but their chicken rice is really delicious, one of the best I've had so far! Will definitely patronage again. Kudos"
5,2021-06-26,"One of the nicest chicken rice I've had... Its reasonable and cheap price. The chicken is very tender, Staff is nice and friendly too!Thank you for the awesome meal !!"
5,2021-06-26,No description provided
5,2021-06-26,No description provided
1,2021-06-26,"inflexible chix rice seller n try to shame customer,avoid!!!"
1,2021-06-26,Polite service but food is no food. Salty and oily.
